rank,name,date
29,Scottie Barnes,11-12-2025
30,Anthony Davis,11-12-2025
31,Evan Mobley,11-12-2025
32,Alex Sarr,11-12-2025
33,Kevin Durant,11-12-2025
34,Stephen Curry,11-12-2025
35,Miles Bridges,11-12-2025
36,Chet Holmgren,11-12-2025
37,Brandon Ingram,11-12-2025
38,Zion Williamson,11-12-2025
39,Franz Wagner,11-12-2025
40,Keyonte George,11-12-2025
41,Stephon Castle,11-12-2025
42,Zach LaVine,11-12-2025
43,Michael Porter Jr.,11-12-2025
44,Jaime Jaquez Jr.,11-12-2025
45,Norman Powell,11-12-2025
46,Nikola Vucevic,11-12-2025
47,Jrue Holiday,11-12-2025
48,Domantas Sabonis,11-12-2025
49,Walker Kessler,11-12-2025
50,De'Aaron Fox,11-12-2025

1,Luka Doncic,11-13-2025
2,Nikola Jokic,11-13-2025
3,Giannis Antetokounmpo,11-13-2025
4,Shai Gilgeous-Alexander,11-13-2025
5,Tyrese Maxey,11-13-2025
6,Austin Reaves,11-13-2025
7,Victor Wembanyama,11-13-2025
8,Cade Cunningham,11-13-2025
9,Donovan Mitchell,11-13-2025
10,LaMelo Ball,11-13-2025
11,Bennedict Mathurin,11-13-2025
12,Julius Randle,11-13-2025
13,Devin Booker,11-13-2025
14,Alperen Sengun,11-13-2025
15,Josh Giddey,11-13-2025
16,James Harden,11-13-2025
17,Jalen Brunson,11-13-2025
18,Deni Avdija,11-13-2025
19,Lauri Markkanen,11-13-2025
20,Kawhi Leonard,11-13-2025
21,Jaylen Brown,11-13-2025
22,Anthony Edwards,11-13-2025
23,Karl-Anthony Towns,11-13-2025
24,Pascal Siakam,11-13-2025
25,Jalen Johnson,11-13-2025
26,Paolo Banchero,11-13-2025
27,Jamal Murray,11-13-2025
28,Jalen Duren,11-13-2025
29,Scottie Barnes,11-13-2025
30,Anthony Davis,11-13-2025
31,Evan Mobley,11-13-2025
32,Alex Sarr,11-13-2025
33,Kevin Durant,11-13-2025
34,Stephen Curry,11-13-2025
35,Miles Bridges,11-13-2025
36,Chet Holmgren,11-13-2025
37,Brandon Ingram,11-13-2025
38,Zion Williamson,11-13-2025
39,Franz Wagner,11-13-2025
40,Keyonte George,11-13-2025
41,Stephon Castle,11-13-2025
42,Zach LaVine,11-13-2025
43,Michael Porter Jr.,11-13-2025
44,Jaime Jaquez Jr.,11-13-2025
45,Norman Powell,11-13-2025
46,Nikola Vucevic,11-13-2025
47,Jrue Holiday,11-13-2025
48,Domantas Sabonis,11-13-2025
49,Walker Kessler,11-13-2025
50,De'Aaron Fox,11-13-2025

1,Luka Doncic,11-14-2025
2,Nikola Jokic,11-14-2025
3,Giannis Antetokounmpo,11-14-2025
4,Shai Gilgeous-Alexander,11-14-2025
5,Tyrese Maxey,11-14-2025
6,Austin Reaves,11-14-2025
7,Victor Wembanyama,11-14-2025
8,Cade Cunningham,11-14-2025
9,Donovan Mitchell,11-14-2025
10,LaMelo Ball,11-14-2025
11,Bennedict Mathurin,11-14-2025
12,Julius Randle,11-14-2025
13,Devin Booker,11-14-2025
14,Alperen Sengun,11-14-2025
15,Josh Giddey,11-14-2025
16,James Harden,11-14-2025
17,Jalen Brunson,11-14-2025
18,Deni Avdija,11-14-2025
19,Lauri Markkanen,11-14-2025
20,Kawhi Leonard,11-14-2025
21,Jaylen Brown,11-14-2025
22,Anthony Edwards,11-14-2025
23,Karl-Anthony Towns,11-14-2025
24,Pascal Siakam,11-14-2025
25,Jalen Johnson,11-14-2025
26,Paolo Banchero,11-14-2025
27,Jamal Murray,11-14-2025
28,Jalen Duren,11-14-2025
29,Scottie Barnes,11-14-2025
30,Anthony Davis,11-14-2025
31,Evan Mobley,11-14-2025
32,Alex Sarr,11-14-2025
33,Kevin Durant,11-14-2025
34,Stephen Curry,11-14-2025
35,Miles Bridges,11-14-2025
36,Chet Holmgren,11-14-2025
37,Brandon Ingram,11-14-2025
38,Zion Williamson,11-14-2025
39,Franz Wagner,11-14-2025
40,Keyonte George,11-14-2025
41,Stephon Castle,11-14-2025
42,Zach LaVine,11-14-2025
43,Michael Porter Jr.,11-14-2025
44,Jaime Jaquez Jr.,11-14-2025
45,Norman Powell,11-14-2025
46,Nikola Vucevic,11-14-2025
47,Jrue Holiday,11-14-2025
48,Domantas Sabonis,11-14-2025
49,Walker Kessler,11-14-2025
50,De'Aaron Fox,11-14-2025

1,Luka Doncic,11-15-2025
2,Nikola Jokic,11-15-2025
3,Giannis Antetokounmpo,11-15-2025
4,Shai Gilgeous-Alexander,11-15-2025
5,Tyrese Maxey,11-15-2025
6,Austin Reaves,11-15-2025
7,Victor Wembanyama,11-15-2025
8,Cade Cunningham,11-15-2025
9,Donovan Mitchell,11-15-2025
10,LaMelo Ball,11-15-2025
11,Bennedict Mathurin,11-15-2025
12,Julius Randle,11-15-2025
13,Devin Booker,11-15-2025
14,Alperen Sengun,11-15-2025
15,Josh Giddey,11-15-2025
16,James Harden,11-15-2025
17,Jalen Brunson,11-15-2025
18,Deni Avdija,11-15-2025
19,Lauri Markkanen,11-15-2025
20,Kawhi Leonard,11-15-2025
21,Jaylen Brown,11-15-2025
22,Anthony Edwards,11-15-2025
23,Karl-Anthony Towns,11-15-2025
24,Pascal Siakam,11-15-2025
25,Jalen Johnson,11-15-2025
26,Paolo Banchero,11-15-2025
27,Jamal Murray,11-15-2025
28,Jalen Duren,11-15-2025
29,Scottie Barnes,11-15-2025
30,Anthony Davis,11-15-2025
31,Evan Mobley,11-15-2025
32,Alex Sarr,11-15-2025
33,Kevin Durant,11-15-2025
34,Stephen Curry,11-15-2025
35,Miles Bridges,11-15-2025
36,Chet Holmgren,11-15-2025
37,Brandon Ingram,11-15-2025
38,Zion Williamson,11-15-2025
39,Franz Wagner,11-15-2025
40,Keyonte George,11-15-2025
41,Stephon Castle,11-15-2025
42,Zach LaVine,11-15-2025
43,Michael Porter Jr.,11-15-2025
44,Jaime Jaquez Jr.,11-15-2025
45,Norman Powell,11-15-2025
46,Nikola Vucevic,11-15-2025
47,Jrue Holiday,11-15-2025
48,Domantas Sabonis,11-15-2025
49,Walker Kessler,11-15-2025
50,De'Aaron Fox,11-15-2025

1,Nikola Jokic,11-16-2025
2,Giannis Antetokounmpo,11-16-2025
3,Luka Doncic,11-16-2025
4,Shai Gilgeous-Alexander,11-16-2025
5,Tyrese Maxey,11-16-2025
6,Victor Wembanyama,11-16-2025
7,Cade Cunningham,11-16-2025
8,Austin Reaves,11-16-2025
9,Donovan Mitchell,11-16-2025
10,James Harden,11-16-2025
11,Julius Randle,11-16-2025
12,Bennedict Mathurin,11-16-2025
13,Alperen Sengun,11-16-2025
14,Devin Booker,11-16-2025
15,Josh Giddey,11-16-2025
16,Jalen Johnson,11-16-2025
17,LaMelo Ball,11-16-2025
18,Stephen Curry,11-16-2025
19,Lauri Markkanen,11-16-2025
20,Jalen Brunson,11-16-2025
21,Karl-Anthony Towns,11-16-2025
22,Deni Avdija,11-16-2025
23,Kawhi Leonard,11-16-2025
24,Anthony Edwards,11-16-2025
25,Jaylen Brown,11-16-2025
26,Scottie Barnes,11-16-2025
27,Pascal Siakam,11-16-2025
28,Jalen Duren,11-16-2025
29,Jamal Murray,11-16-2025
30,Anthony Davis,11-16-2025
31,Alex Sarr,11-16-2025
32,Kevin Durant,11-16-2025
33,Norman Powell,11-16-2025
34,Paolo Banchero,11-16-2025
35,Franz Wagner,11-16-2025
36,Michael Porter Jr.,11-16-2025
37,Evan Mobley,11-16-2025
38,Stephon Castle,11-16-2025
39,Miles Bridges,11-16-2025
40,Zion Williamson,11-16-2025
41,Domantas Sabonis,11-16-2025
42,Keyonte George,11-16-2025
43,Chet Holmgren,11-16-2025
44,Walker Kessler,11-16-2025
45,Jrue Holiday,11-16-2025
46,Jimmy Butler III,11-16-2025
47,Zach LaVine,11-16-2025
48,Jaime Jaquez Jr.,11-16-2025
49,Brandon Ingram,11-16-2025
50,Trey Murphy III,11-16-2025

1,Nikola Jokic,11-17-2025
2,Giannis Antetokounmpo,11-17-2025
3,Luka Doncic,11-17-2025
4,Shai Gilgeous-Alexander,11-17-2025
5,Tyrese Maxey,11-17-2025
6,Victor Wembanyama,11-17-2025
7,Cade Cunningham,11-17-2025
8,Austin Reaves,11-17-2025
9,James Harden,11-17-2025
10,Donovan Mitchell,11-17-2025
11,Julius Randle,11-17-2025
12,Josh Giddey,11-17-2025
13,Alperen Sengun,11-17-2025
14,Bennedict Mathurin,11-17-2025
15,Jalen Johnson,11-17-2025
16,Devin Booker,11-17-2025
17,Lauri Markkanen,11-17-2025
18,Coby White,11-17-2025
19,LaMelo Ball,11-17-2025
20,Jalen Brunson,11-17-2025
21,Deni Avdija,11-17-2025
22,Karl-Anthony Towns,11-17-2025
23,Jaylen Brown,11-17-2025
24,Kawhi Leonard,11-17-2025
25,Anthony Edwards,11-17-2025
26,Stephen Curry,11-17-2025
27,Scottie Barnes,11-17-2025
28,Kevin Durant,11-17-2025
29,Pascal Siakam,11-17-2025
30,Jalen Duren,11-17-2025
31,Michael Porter Jr.,11-17-2025
32,Jamal Murray,11-17-2025
33,Anthony Davis,11-17-2025
34,Norman Powell,11-17-2025
35,De'Aaron Fox,11-17-2025
36,Paolo Banchero,11-17-2025
37,Franz Wagner,11-17-2025
38,Evan Mobley,11-17-2025
39,Miles Bridges,11-17-2025
40,Keyonte George,11-17-2025
41,Zion Williamson,11-17-2025
42,Alex Sarr,11-17-2025
43,Domantas Sabonis,11-17-2025
44,Chet Holmgren,11-17-2025
45,Jimmy Butler III,11-17-2025
46,Walker Kessler,11-17-2025
47,Jrue Holiday,11-17-2025
48,Jaime Jaquez Jr.,11-17-2025
49,Brandon Ingram,11-17-2025
50,Stephon Castle,11-17-2025

1,Nikola Jokic,11-18-2025
2,Luka Doncic,11-18-2025
3,Giannis Antetokounmpo,11-18-2025
4,Shai Gilgeous-Alexander,11-18-2025
5,Tyrese Maxey,11-18-2025
6,Victor Wembanyama,11-18-2025
7,Donovan Mitchell,11-18-2025
8,Cade Cunningham,11-18-2025
9,Austin Reaves,11-18-2025
10,James Harden,11-18-2025
11,Josh Giddey,11-18-2025
12,Alperen Sengun,11-18-2025
13,Jalen Johnson,11-18-2025
14,Devin Booker,11-18-2025
15,Lauri Markkanen,11-18-2025
16,Coby White,11-18-2025
17,Julius Randle,11-18-2025
18,Jalen Brunson,11-18-2025
19,LaMelo Ball,11-18-2025
20,Deni Avdija,11-18-2025
21,Jaylen Brown,11-18-2025
22,Kawhi Leonard,11-18-2025
23,Karl-Anthony Towns,11-18-2025
24,Jalen Duren,11-18-2025
25,Stephen Curry,11-18-2025
26,Jamal Murray,11-18-2025
27,Scottie Barnes,11-18-2025
28,Bennedict Mathurin,11-18-2025
29,Pascal Siakam,11-18-2025
30,Kevin Durant,11-18-2025
31,Anthony Edwards,11-18-2025
32,Michael Porter Jr.,11-18-2025
33,Anthony Davis,11-18-2025
34,De'Aaron Fox,11-18-2025
35,Paolo Banchero,11-18-2025
36,Franz Wagner,11-18-2025
37,Norman Powell,11-18-2025
38,Keyonte George,11-18-2025
39,Miles Bridges,11-18-2025
40,Zion Williamson,11-18-2025
41,Alex Sarr,11-18-2025
42,Domantas Sabonis,11-18-2025
43,Chet Holmgren,11-18-2025
44,Evan Mobley,11-18-2025
45,Jimmy Butler III,11-18-2025
46,Walker Kessler,11-18-2025
47,Jrue Holiday,11-18-2025
48,Brandon Ingram,11-18-2025
49,Stephon Castle,11-18-2025
50,Ivica Zubac,11-18-2025

1,Nikola Jokic,11-19-2025
2,Luka Doncic,11-19-2025
3,Giannis Antetokounmpo,11-19-2025
4,Shai Gilgeous-Alexander,11-19-2025
5,Tyrese Maxey,11-19-2025
6,Victor Wembanyama,11-19-2025
7,Donovan Mitchell,11-19-2025
8,Cade Cunningham,11-19-2025
9,Austin Reaves,11-19-2025
10,James Harden,11-19-2025
11,Josh Giddey,11-19-2025
12,Alperen Sengun,11-19-2025
13,Jalen Johnson,11-19-2025
14,Lauri Markkanen,11-19-2025
15,Devin Booker,11-19-2025
16,Coby White,11-19-2025
17,Julius Randle,11-19-2025
18,Jalen Brunson,11-19-2025
19,LaMelo Ball,11-19-2025
20,Stephen Curry,11-19-2025
21,Kawhi Leonard,11-19-2025
22,Deni Avdija,11-19-2025
23,Karl-Anthony Towns,11-19-2025
24,Jaylen Brown,11-19-2025
25,Jalen Duren,11-19-2025
26,Jamal Murray,11-19-2025
27,Scottie Barnes,11-19-2025
28,Bennedict Mathurin,11-19-2025
29,Pascal Siakam,11-19-2025
30,Kevin Durant,11-19-2025
31,Michael Porter Jr.,11-19-2025
32,Anthony Edwards,11-19-2025
33,Anthony Davis,11-19-2025
34,Keyonte George,11-19-2025
35,De'Aaron Fox,11-19-2025
36,Paolo Banchero,11-19-2025
37,Franz Wagner,11-19-2025
38,Norman Powell,11-19-2025
39,Jimmy Butler III,11-19-2025
40,Miles Bridges,11-19-2025
41,Zion Williamson,11-19-2025
42,Alex Sarr,11-19-2025
43,Domantas Sabonis,11-19-2025
44,Chet Holmgren,11-19-2025
45,Evan Mobley,11-19-2025
46,Walker Kessler,11-19-2025
47,Jrue Holiday,11-19-2025
48,Brandon Ingram,11-19-2025
49,Stephon Castle,11-19-2025
50,Ivica Zubac,11-19-2025

1,Nikola Jokic,11-20-2025
2,Luka Doncic,11-20-2025
3,Giannis Antetokounmpo,11-20-2025
4,Shai Gilgeous-Alexander,11-20-2025
5,Tyrese Maxey,11-20-2025
6,Victor Wembanyama,11-20-2025
7,Cade Cunningham,11-20-2025
8,Austin Reaves,11-20-2025
9,Donovan Mitchell,11-20-2025
10,James Harden,11-20-2025
11,Alperen Sengun,11-20-2025
12,Jalen Johnson,11-20-2025
13,Lauri Markkanen,11-20-2025
14,Josh Giddey,11-20-2025
15,Julius Randle,11-20-2025
16,Devin Booker,11-20-2025
17,Jalen Brunson,11-20-2025
18,Deni Avdija,11-20-2025
19,Coby White,11-20-2025
20,Stephen Curry,11-20-2025
21,Kawhi Leonard,11-20-2025
22,Jaylen Brown,11-20-2025
23,Jalen Duren,11-20-2025
24,LaMelo Ball,11-20-2025
25,Karl-Anthony Towns,11-20-2025
26,Bennedict Mathurin,11-20-2025
27,Pascal Siakam,11-20-2025
28,Scottie Barnes,11-20-2025
29,Michael Porter Jr.,11-20-2025
30,Jamal Murray,11-20-2025
31,Anthony Davis,11-20-2025
32,Kevin Durant,11-20-2025
33,Keyonte George,11-20-2025
34,Anthony Edwards,11-20-2025
35,De'Aaron Fox,11-20-2025
36,Paolo Banchero,11-20-2025
37,Norman Powell,11-20-2025
38,Franz Wagner,11-20-2025
39,Miles Bridges,11-20-2025
40,Jimmy Butler III,11-20-2025
41,Chet Holmgren,11-20-2025
42,Alex Sarr,11-20-2025
43,Domantas Sabonis,11-20-2025
44,Walker Kessler,11-20-2025
45,Jrue Holiday,11-20-2025
46,Evan Mobley,11-20-2025
47,Brandon Ingram,11-20-2025
48,Zion Williamson,11-20-2025
49,Stephon Castle,11-20-2025
50,Bam Adebayo,11-20-2025

1,Nikola Jokic,11-21-2025
2,Luka Doncic,11-21-2025
3,Giannis Antetokounmpo,11-21-2025
4,Tyrese Maxey,11-21-2025
5,Shai Gilgeous-Alexander,11-21-2025
6,Victor Wembanyama,11-21-2025
7,Cade Cunningham,11-21-2025
8,James Harden,11-21-2025
9,Austin Reaves,11-21-2025
10,Donovan Mitchell,11-21-2025
11,Alperen Sengun,11-21-2025
12,Jalen Johnson,11-21-2025
13,Lauri Markkanen,11-21-2025
14,Josh Giddey,11-21-2025
15,Julius Randle,11-21-2025
16,Devin Booker,11-21-2025
17,Jalen Brunson,11-21-2025
18,Deni Avdija,11-21-2025
19,Coby White,11-21-2025
20,Stephen Curry,11-21-2025
21,Kawhi Leonard,11-21-2025
22,Jaylen Brown,11-21-2025
23,Jalen Duren,11-21-2025
24,LaMelo Ball,11-21-2025
25,Karl-Anthony Towns,11-21-2025
26,Bennedict Mathurin,11-21-2025
27,Pascal Siakam,11-21-2025
28,Scottie Barnes,11-21-2025
29,Michael Porter Jr.,11-21-2025
30,Jamal Murray,11-21-2025
31,De'Aaron Fox,11-21-2025
32,Anthony Davis,11-21-2025
33,Kevin Durant,11-21-2025
34,Keyonte George,11-21-2025
35,Anthony Edwards,11-21-2025
36,Paolo Banchero,11-21-2025
37,Norman Powell,11-21-2025
38,Miles Bridges,11-21-2025
39,Jimmy Butler III,11-21-2025
40,Franz Wagner,11-21-2025
41,Chet Holmgren,11-21-2025
42,Alex Sarr,11-21-2025
43,Domantas Sabonis,11-21-2025
44,Walker Kessler,11-21-2025
45,Jrue Holiday,11-21-2025
46,Evan Mobley,11-21-2025
47,Brandon Ingram,11-21-2025
48,Zion Williamson,11-21-2025
49,Stephon Castle,11-21-2025
50,Bam Adebayo,11-21-2025

1,Nikola Jokic,11-22-2025
2,Luka Doncic,11-22-2025
3,Giannis Antetokounmpo,11-22-2025
4,Tyrese Maxey,11-22-2025
5,Shai Gilgeous-Alexander,11-22-2025
6,Victor Wembanyama,11-22-2025
7,Cade Cunningham,11-22-2025
8,James Harden,11-22-2025
9,Austin Reaves,11-22-2025
10,Donovan Mitchell,11-22-2025
11,Alperen Sengun,11-22-2025
12,Jalen Johnson,11-22-2025
13,Lauri Markkanen,11-22-2025
14,Josh Giddey,11-22-2025
15,Julius Randle,11-22-2025
16,Devin Booker,11-22-2025
17,Jalen Brunson,11-22-2025
18,Deni Avdija,11-22-2025
19,Coby White,11-22-2025
20,Stephen Curry,11-22-2025
21,Kawhi Leonard,11-22-2025
22,Jaylen Brown,11-22-2025
23,Jalen Duren,11-22-2025
24,LaMelo Ball,11-22-2025
25,Karl-Anthony Towns,11-22-2025
26,Bennedict Mathurin,11-22-2025
27,Pascal Siakam,11-22-2025
28,Scottie Barnes,11-22-2025
29,Michael Porter Jr.,11-22-2025
30,Jamal Murray,11-22-2025
31,De'Aaron Fox,11-22-2025
32,Anthony Davis,11-22-2025
33,Kevin Durant,11-22-2025
34,Keyonte George,11-22-2025
35,Anthony Edwards,11-22-2025
36,Paolo Banchero,11-22-2025
37,Norman Powell,11-22-2025
38,Miles Bridges,11-22-2025
39,Jimmy Butler III,11-22-2025
40,Franz Wagner,11-22-2025
41,Chet Holmgren,11-22-2025
42,Alex Sarr,11-22-2025
43,Domantas Sabonis,11-22-2025
44,Walker Kessler,11-22-2025
45,Jrue Holiday,11-22-2025
46,Evan Mobley,11-22-2025
47,Brandon Ingram,11-22-2025
48,Zion Williamson,11-22-2025
49,Stephon Castle,11-22-2025
50,Bam Adebayo,11-22-2025

1,Nikola Jokic,11-23-2025
2,Luka Doncic,11-23-2025
3,Giannis Antetokounmpo,11-23-2025
4,Tyrese Maxey,11-23-2025
5,Shai Gilgeous-Alexander,11-23-2025
6,Victor Wembanyama,11-23-2025
7,James Harden,11-23-2025
8,Cade Cunningham,11-23-2025
9,Donovan Mitchell,11-23-2025
10,Austin Reaves,11-23-2025
11,Jalen Johnson,11-23-2025
12,Alperen Sengun,11-23-2025
13,Josh Giddey,11-23-2025
14,Lauri Markkanen,11-23-2025
15,Jalen Brunson,11-23-2025
16,Julius Randle,11-23-2025
17,Deni Avdija,11-23-2025
18,Devin Booker,11-23-2025
19,Stephen Curry,11-23-2025
20,Kawhi Leonard,11-23-2025
21,Jaylen Brown,11-23-2025
22,Karl-Anthony Towns,11-23-2025
23,Jalen Duren,11-23-2025
24,LaMelo Ball,11-23-2025
25,Pascal Siakam,11-23-2025
26,Michael Porter Jr.,11-23-2025
27,Jamal Murray,11-23-2025
28,Anthony Edwards,11-23-2025
29,Bennedict Mathurin,11-23-2025
30,Scottie Barnes,11-23-2025
31,De'Aaron Fox,11-23-2025
32,Anthony Davis,11-23-2025
33,Franz Wagner,11-23-2025
34,Keyonte George,11-23-2025
35,Coby White,11-23-2025
36,Paolo Banchero,11-23-2025
37,Kevin Durant,11-23-2025
38,Jimmy Butler III,11-23-2025
39,Norman Powell,11-23-2025
40,Domantas Sabonis,11-23-2025
41,Miles Bridges,11-23-2025
42,Alex Sarr,11-23-2025
43,Evan Mobley,11-23-2025
44,Brandon Ingram,11-23-2025
45,Walker Kessler,11-23-2025
46,Jrue Holiday,11-23-2025
47,Chet Holmgren,11-23-2025
48,Zion Williamson,11-23-2025
49,Bam Adebayo,11-23-2025
50,Ivica Zubac,11-23-2025

1,Nikola Jokic,11-24-2025
2,Luka Doncic,11-24-2025
3,Giannis Antetokounmpo,11-24-2025
4,Shai Gilgeous-Alexander,11-24-2025
5,Tyrese Maxey,11-24-2025
6,Victor Wembanyama,11-24-2025
7,Cade Cunningham,11-24-2025
8,Donovan Mitchell,11-24-2025
9,James Harden,11-24-2025
10,Austin Reaves,11-24-2025
11,Jalen Johnson,11-24-2025
12,Alperen Sengun,11-24-2025
13,Josh Giddey,11-24-2025
14,Jalen Brunson,11-24-2025
15,Julius Randle,11-24-2025
16,Lauri Markkanen,11-24-2025
17,Devin Booker,11-24-2025
18,Stephen Curry,11-24-2025
19,Jaylen Brown,11-24-2025
20,Deni Avdija,11-24-2025
21,Karl-Anthony Towns,11-24-2025
22,Jalen Duren,11-24-2025
23,LaMelo Ball,11-24-2025
24,Michael Porter Jr.,11-24-2025
25,Pascal Siakam,11-24-2025
26,Jamal Murray,11-24-2025
27,Kawhi Leonard,11-24-2025
28,Anthony Edwards,11-24-2025
29,Bennedict Mathurin,11-24-2025
30,Scottie Barnes,11-24-2025
31,De'Aaron Fox,11-24-2025
32,Anthony Davis,11-24-2025
33,Keyonte George,11-24-2025
34,Coby White,11-24-2025
35,Franz Wagner,11-24-2025
36,Paolo Banchero,11-24-2025
37,Norman Powell,11-24-2025
38,Kevin Durant,11-24-2025
39,Jimmy Butler III,11-24-2025
40,Ivica Zubac,11-24-2025
41,Domantas Sabonis,11-24-2025
42,Miles Bridges,11-24-2025
43,Evan Mobley,11-24-2025
44,Alex Sarr,11-24-2025
45,Walker Kessler,11-24-2025
46,Jrue Holiday,11-24-2025
47,Brandon Ingram,11-24-2025
48,Zion Williamson,11-24-2025
49,Bam Adebayo,11-24-2025
50,Stephon Castle,11-24-2025

1,Nikola Jokic,11-25-2025
2,Luka Doncic,11-25-2025
3,Giannis Antetokounmpo,11-25-2025
4,Shai Gilgeous-Alexander,11-25-2025
5,Tyrese Maxey,11-25-2025
6,Victor Wembanyama,11-25-2025
7,Cade Cunningham,11-25-2025
8,Donovan Mitchell,11-25-2025
9,James Harden,11-25-2025
10,Austin Reaves,11-25-2025
11,Jalen Johnson,11-25-2025
12,Alperen Sengun,11-25-2025
13,Josh Giddey,11-25-2025
14,Jalen Brunson,11-25-2025
15,Julius Randle,11-25-2025
16,Lauri Markkanen,11-25-2025
17,Devin Booker,11-25-2025
18,Stephen Curry,11-25-2025
19,Jaylen Brown,11-25-2025
20,Deni Avdija,11-25-2025
21,Karl-Anthony Towns,11-25-2025
22,Jalen Duren,11-25-2025
23,LaMelo Ball,11-25-2025
24,Michael Porter Jr.,11-25-2025
25,Pascal Siakam,11-25-2025
26,Jamal Murray,11-25-2025
27,Kawhi Leonard,11-25-2025
28,Anthony Edwards,11-25-2025
29,Bennedict Mathurin,11-25-2025
30,Scottie Barnes,11-25-2025
31,De'Aaron Fox,11-25-2025
32,Anthony Davis,11-25-2025
33,Keyonte George,11-25-2025
34,Coby White,11-25-2025
35,Franz Wagner,11-25-2025
36,Paolo Banchero,11-25-2025
37,Norman Powell,11-25-2025
38,Kevin Durant,11-25-2025
39,Jimmy Butler III,11-25-2025
40,Ivica Zubac,11-25-2025
41,Domantas Sabonis,11-25-2025
42,Miles Bridges,11-25-2025
43,Evan Mobley,11-25-2025
44,Alex Sarr,11-25-2025
45,Walker Kessler,11-25-2025
46,Jrue Holiday,11-25-2025
47,Brandon Ingram,11-25-2025
48,Zion Williamson,11-25-2025
49,Bam Adebayo,11-25-2025
50,Stephon Castle,11-25-2025

1,Nikola Jokic,11-26-2025
2,Luka Doncic,11-26-2025
3,Giannis Antetokounmpo,11-26-2025
4,Shai Gilgeous-Alexander,11-26-2025
5,Tyrese Maxey,11-26-2025
6,Victor Wembanyama,11-26-2025
7,Cade Cunningham,11-26-2025
8,Donovan Mitchell,11-26-2025
9,James Harden,11-26-2025
10,Austin Reaves,11-26-2025
11,Jalen Johnson,11-26-2025
12,Alperen Sengun,11-26-2025
13,Josh Giddey,11-26-2025
14,Jalen Brunson,11-26-2025
15,Julius Randle,11-26-2025
16,Lauri Markkanen,11-26-2025
17,Devin Booker,11-26-2025
18,Stephen Curry,11-26-2025
19,Jaylen Brown,11-26-2025
20,Deni Avdija,11-26-2025
21,Karl-Anthony Towns,11-26-2025
22,Jalen Duren,11-26-2025
23,LaMelo Ball,11-26-2025
24,Michael Porter Jr.,11-26-2025
25,Pascal Siakam,11-26-2025
26,Jamal Murray,11-26-2025
27,Kawhi Leonard,11-26-2025
28,Anthony Edwards,11-26-2025
29,Bennedict Mathurin,11-26-2025
30,Scottie Barnes,11-26-2025
31,De'Aaron Fox,11-26-2025
32,Anthony Davis,11-26-2025
33,Keyonte George,11-26-2025
34,Coby White,11-26-2025
35,Franz Wagner,11-26-2025
36,Paolo Banchero,11-26-2025
37,Norman Powell,11-26-2025
38,Kevin Durant,11-26-2025
39,Jimmy Butler III,11-26-2025
40,Ivica Zubac,11-26-2025
41,Domantas Sabonis,11-26-2025
42,Miles Bridges,11-26-2025
43,Evan Mobley,11-26-2025
44,Alex Sarr,11-26-2025
45,Walker Kessler,11-26-2025
46,Jrue Holiday,11-26-2025
47,Brandon Ingram,11-26-2025
48,Zion Williamson,11-26-2025
49,Bam Adebayo,11-26-2025
50,Stephon Castle,11-26-2025

1,Nikola Jokic,11-27-2025
2,Luka Doncic,11-27-2025
3,Giannis Antetokounmpo,11-27-2025
4,Shai Gilgeous-Alexander,11-27-2025
5,Tyrese Maxey,11-27-2025
6,Victor Wembanyama,11-27-2025
7,Cade Cunningham,11-27-2025
8,James Harden,11-27-2025
9,Tyler Herro,11-27-2025
10,Austin Reaves,11-27-2025
11,Donovan Mitchell,11-27-2025
12,Jalen Johnson,11-27-2025
13,Josh Giddey,11-27-2025
14,Jalen Brunson,11-27-2025
15,Alperen Sengun,11-27-2025
16,Jaylen Brown,11-27-2025
17,Lauri Markkanen,11-27-2025
18,Anthony Edwards,11-27-2025
19,Karl-Anthony Towns,11-27-2025
20,Deni Avdija,11-27-2025
21,Julius Randle,11-27-2025
22,Stephen Curry,11-27-2025
23,De'Aaron Fox,11-27-2025
24,Devin Booker,11-27-2025
25,Jamal Murray,11-27-2025
26,Scottie Barnes,11-27-2025
27,Jalen Duren,11-27-2025
28,Keyonte George,11-27-2025
29,Michael Porter Jr.,11-27-2025
30,Pascal Siakam,11-27-2025
31,Kawhi Leonard,11-27-2025
32,Anthony Davis,11-27-2025
33,LaMelo Ball,11-27-2025
34,Franz Wagner,11-27-2025
35,Paolo Banchero,11-27-2025
36,Coby White,11-27-2025
37,Jimmy Butler III,11-27-2025
38,Kevin Durant,11-27-2025
39,LeBron James,11-27-2025
40,Alex Sarr,11-27-2025
41,Domantas Sabonis,11-27-2025
42,Norman Powell,11-27-2025
43,Ivica Zubac,11-27-2025
44,Brandon Ingram,11-27-2025
45,Evan Mobley,11-27-2025
46,Walker Kessler,11-27-2025
47,Jrue Holiday,11-27-2025
48,Miles Bridges,11-27-2025
49,Zion Williamson,11-27-2025
50,Stephon Castle,11-27-2025

1,Nikola Jokic,11-28-2025
2,Luka Doncic,11-28-2025
3,Giannis Antetokounmpo,11-28-2025
4,Shai Gilgeous-Alexander,11-28-2025
5,Tyrese Maxey,11-28-2025
6,Victor Wembanyama,11-28-2025
7,Cade Cunningham,11-28-2025
8,James Harden,11-28-2025
