rank,name,date
28,Jrue Holiday,10-31-2025
29,VJ Edgecombe,10-31-2025
30,Kyshawn George,10-31-2025
31,Keyonte George,10-31-2025
32,Cade Cunningham,10-31-2025
33,Anthony Davis,10-31-2025
34,Jalen Johnson,10-31-2025
35,Josh Giddey,10-31-2025
36,Paolo Banchero,10-31-2025
37,Alex Sarr,10-31-2025
38,Ja Morant,10-31-2025
39,Jimmy Butler III,10-31-2025
40,Mikal Bridges,10-31-2025
41,Deni Avdija,10-31-2025
42,Bam Adebayo,10-31-2025
43,Evan Mobley,10-31-2025
44,Anthony Edwards,10-31-2025
45,Brandon Ingram,10-31-2025
46,Aaron Gordon,10-31-2025
47,Kristaps Porzingis,10-31-2025
48,Michael Porter Jr.,10-31-2025
49,Zion Williamson,10-31-2025
50,Franz Wagner,10-31-2025
1,Luka Doncic,11-01-2025
2,Giannis Antetokounmpo,11-01-2025
3,Victor Wembanyama,11-01-2025
4,Austin Reaves,11-01-2025
5,Tyrese Maxey,11-01-2025
6,Nikola Jokic,11-01-2025
7,Shai Gilgeous-Alexander,11-01-2025
8,Lauri Markkanen,11-01-2025
9,LaMelo Ball,11-01-2025
10,Jalen Brunson,11-01-2025
11,Bennedict Mathurin,11-01-2025
12,Julius Randle,11-01-2025
13,Alperen Sengun,11-01-2025
14,Pascal Siakam,11-01-2025
15,Jamal Murray,11-01-2025
16,Stephen Curry,11-01-2025
17,Nikola Vucevic,11-01-2025
18,Devin Booker,11-01-2025
19,Chet Holmgren,11-01-2025
20,Kevin Durant,11-01-2025
21,Donovan Mitchell,11-01-2025
22,Norman Powell,11-01-2025
23,Jaylen Brown,11-01-2025
24,Zach LaVine,11-01-2025
25,James Harden,11-01-2025
26,Walker Kessler,11-01-2025
27,Scottie Barnes,11-01-2025
28,Jrue Holiday,11-01-2025
29,VJ Edgecombe,11-01-2025
30,Kyshawn George,11-01-2025
31,Keyonte George,11-01-2025
32,Cade Cunningham,11-01-2025
33,Anthony Davis,11-01-2025
34,Jalen Johnson,11-01-2025
35,Josh Giddey,11-01-2025
36,Paolo Banchero,11-01-2025
37,Alex Sarr,11-01-2025
38,Ja Morant,11-01-2025
39,Jimmy Butler III,11-01-2025
40,Mikal Bridges,11-01-2025
41,Deni Avdija,11-01-2025
42,Bam Adebayo,11-01-2025
43,Evan Mobley,11-01-2025
